geo_point_2d;geo_shape;nature_l;sigle;secteur;code_postal;commune;academie;denom;nom_lycee;dept
48.60917586238187, 2.4826048287183453;"{""coordinates"": [2.482604828718345, 48.60917586238187], ""type"": ""Point""}";Lycée polyvalent;LPO;Privé;91174;Corbeil-Essonnes;Versailles;LYCEE POLYVALENT PRIVE;SAINT-LÉON;91
48.658480133326584, 2.345087879928136;"{""coordinates"": [2.345087879928136, 48.658480133326584], ""type"": ""Point""}";Lycée professionnel;LP;Public;91434;Morsang-sur-Orge;Versailles;LYCEE PROFESSIONNEL;ANDRÉ-MARIE-AMPÈRE;91
48.74220288915891, 2.22849207945768;"{""coordinates"": [2.22849207945768, 48.74220288915891], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;91312;Igny;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;LA-SALLE-IGNY;91
48.90480073887438, 2.284077486045029;"{""coordinates"": [2.284077486045029, 48.90480073887438], ""type"": ""Point""}";Lycée polyvalent;LP;Public;92004;Asnières-sur-Seine;Versailles;LPO LYCEE DES METIERS;PRONY (DE);92
48.88468155775562, 2.2811685434354243;"{""coordinates"": [2.281168543435424, 48.88468155775562], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Privé;92051;Neuilly-sur-Seine;Versailles;LYCEE GEN.ET TECHNOL.PRIVE;SAINTE-MARIE;92
48.8671809241746, 2.1794474757442117;"{""coordinates"": [2.179447475744212, 48.8671809241746], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;92063;Rueil-Malmaison;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;RICHELIEU;92
48.899235243796674, 2.345612790778742;"{""coordinates"": [2.345612790778742, 48.899235243796674], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;75118;Paris 18e Arrondissement;Paris;LGT LYCEE DES METIERS;RABELAIS;75
48.860233637953755, 2.3452412385095487;"{""coordinates"": [2.345241238509549, 48.860233637953755], ""type"": ""Point""}";Lycée professionnel;LP;Public;75101;Paris 1er Arrondissement;Paris;LYCEE PROFESSIONNEL;PIERRE-LESCOT;75
48.851227197113666, 2.3725393365863914;"{""coordinates"": [2.372539336586391, 48.851227197113666], ""type"": ""Point""}";Lycée professionnel;LP;Public;75112;Paris 12e Arrondissement;Paris;LYCEE PROFESSIONNEL;THEOPHILE-GAUTIER;75
48.837821086879565, 2.1672414515190948;"{""coordinates"": [2.167241451519095, 48.837821086879565], ""type"": ""Point""}";Etablissement régional d'enseignement adapté;EREA;Public;92033;Garches;Versailles;ETAB.REGIONAL ENSEIGNT ADAPTE;JEAN-MONNET;92
48.972008613341565, 2.3361908820123465;"{""coordinates"": [2.336190882012346, 48.972008613341565], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;95197;Deuil-la-Barre;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;CAMILLE-SAINT-SAENS;95
48.98022113047286, 3.1452699034166356;"{""coordinates"": [3.145269903416636, 48.98022113047286], ""type"": ""Point""}";Etablissement régional d'enseignement adapté;EREA;Public;77078;Chamigny;Créteil;ETAB.REGIONAL ENSEIGNT ADAPTE;LEOPOLD-BELLAN;77
48.88923944849847, 2.5421968521609224;"{""coordinates"": [2.542196852160922, 48.88923944849847], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;93032;Gagny;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;GUSTAVE-EIFFEL;93
48.84706564736619, 2.443370837657047;"{""coordinates"": [2.443370837657047, 48.84706564736619], ""type"": ""Point""}";Lycée d'enseignement général;LG;Privé;94080;Vincennes;Créteil;LYCEE GENERAL PRIVE;NOTRE-DAME-DE-LA-PROVIDENCE;94
48.82514629319014, 2.2869665968201067;"{""coordinates"": [2.286966596820107, 48.82514629319014], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;92075;Vanves;Versailles;LYCEE GENERAL ET TECHNOLOGIQUE;MICHELET;92
48.83522999935981, 2.4826050782584663;"{""coordinates"": [2.482605078258466, 48.83522999935981], ""type"": ""Point""}";Lycée d'enseignement général;LG;Public;94052;Nogent-sur-Marne;Créteil;LYCEE GENERAL;EDOUARD-BRANLY;94
48.867954156261774, 2.7201476058031933;"{""coordinates"": [2.720147605803193, 48.867954156261774], ""type"": ""Point""}";Lycée d'enseignement général et technologique;LGT;Public;77243;Lagny-sur-Marne;Créteil;LYCEE GENERAL ET TECHNOLOGIQUE;VAN-DONGEN;77
