n°UAI de l'établissement;Libellé de l'établissement;Région;Niveau de formation;;Taux de poursuite d'études;Taux d'emploi 6 mois après la sortie
0750796H;Lycée Professionnel Octave Feuilet - Lycée des métiers de la mode;ILE-DE-FRANCE;CAP;23;56;41
0750800M;Lycée professionnel Edmond Rostand;ILE-DE-FRANCE;BAC;;;
0750800M;Lycée professionnel Edmond Rostand;ILE-DE-FRANCE;CAP;;50;20
0750802P;Lycée professionnel Hector Guimard - Lycée des métiers du batiment, de l'artisanat et du patrimoine bâti;ILE-DE-FRANCE;BAC;23;66;32
0750802P;Lycée professionnel Hector Guimard - Lycée des métiers du batiment, de l'artisanat et du patrimoine bâti;ILE-DE-FRANCE;CAP;57;70;50
0750802P;Lycée professionnel Hector Guimard - Lycée des métiers du batiment, de l'artisanat et du patrimoine bâti;ILE-DE-FRANCE;MC5;30;50;
0750808W;Lycée professionnel Etienne Dolet;ILE-DE-FRANCE;BAC;20;65;52
0750808W;Lycée professionnel Etienne Dolet;ILE-DE-FRANCE;CAP;20;81;
0750808W;Lycée professionnel Etienne Dolet;ILE-DE-FRANCE;MC4;16;28;45
0750808W;Lycée professionnel Etienne Dolet;ILE-DE-FRANCE;MC5;37;52;
0750828T;Etablissement régional d'enseignement adapté Edith Piaf;ILE-DE-FRANCE;CAP;19;75;22
0751708Z;Lycée polyvalent Louis Armand;ILE-DE-FRANCE;BAC;28;51;19
0751708Z;Lycée polyvalent Louis Armand;ILE-DE-FRANCE;BTS;32;39;44
0751708Z;Lycée polyvalent Louis Armand;ILE-DE-FRANCE;CAP;36;92;
0751710B;Lycée Professionnel N.L Vauquelin - Lycée des métiers des procédés chimiques, des biotechnologies et de l'eau;ILE-DE-FRANCE;BAC;;65;24
0751710B;Lycée Professionnel N.L Vauquelin - Lycée des métiers des procédés chimiques, des biotechnologies et de l'eau;ILE-DE-FRANCE;BTS;64;20;47
0751710B;Lycée Professionnel N.L Vauquelin - Lycée des métiers des procédés chimiques, des biotechnologies et de l'eau;ILE-DE-FRANCE;CAP;41;100;
0751883P;Lycée technologique privé Institut clorivière;ILE-DE-FRANCE;BTS;24;38;44
0752109K;Lycée professionnel Suzanne Valadon;ILE-DE-FRANCE;BAC;15;50;26
0752388N;Lycée professionnel Pierre Lescot;ILE-DE-FRANCE;BAC;32;46;38
0752388N;Lycée professionnel Pierre Lescot;ILE-DE-FRANCE;CAP;29;48;
0752608C;Lycée professionnel Belliard - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;BAC;10;48;54
0752608C;Lycée professionnel Belliard - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;CAP;73;46;27
0752608C;Lycée professionnel Belliard - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;MC5;45;18;64
0752700C;Lycée professionnel Armand Carrel;ILE-DE-FRANCE;BAC;;48;28
0752799K;Etablissement régional d'enseignement adapté Crocé Spinelli;ILE-DE-FRANCE;BAC;47;50;
0752799K;Etablissement régional d'enseignement adapté Crocé Spinelli;ILE-DE-FRANCE;CAP;31;68;17
0752845K;Lycée professionnel Théophile Gautier;ILE-DE-FRANCE;BAC;25;52;32
0752845K;Lycée professionnel Théophile Gautier;ILE-DE-FRANCE;CAP;20;54;
0752846L;Lycée Professionnel Erik Satie;ILE-DE-FRANCE;BAC;17;65;45
0752846L;Lycée Professionnel Erik Satie;ILE-DE-FRANCE;BTS;16;37;47
0752961L;Lycée professionnel Gustave Eiffel;ILE-DE-FRANCE;BAC;44;69;15
0752961L;Lycée professionnel Gustave Eiffel;ILE-DE-FRANCE;MC4;27;29;
0753217P;Lycée polyvalent privé Sainte Thérèse;ILE-DE-FRANCE;BAC;;30;39
0753217P;Lycée polyvalent privé Sainte Thérèse;ILE-DE-FRANCE;MC5;58;;
0753256G;Etablissement régional d'enseignement adapté Alexandre Dumas;ILE-DE-FRANCE;CAP;;47;41
0753268V;Lycée polyvalent Jean Lurçat;ILE-DE-FRANCE;BAC;19;51;42
0753268V;Lycée polyvalent Jean Lurçat;ILE-DE-FRANCE;BTS;37;53;55
0753350J;Lycée professionnel Maria Deraismes;ILE-DE-FRANCE;BAC;23;48;32
0753537M;Ecole Supérieure Technique de Biologie Appliquée;ILE-DE-FRANCE;BTS;49;39;35
0753838P;Lycée privé Saint Sulpice;ILE-DE-FRANCE;BTS;26;;
0753844W;Lycée général et technologique privé Sainte Geneviève;ILE-DE-FRANCE;BTS;;;
0753890W;Lycée général et technologique privé Charles Péguy;ILE-DE-FRANCE;BTS;;79;
0754015G;Lycée polyvalent privé Jules Richard Microtechniques;ILE-DE-FRANCE;BAC;10;80;
0754015G;Lycée polyvalent privé Jules Richard Microtechniques;ILE-DE-FRANCE;BTS;26;43;50
0754016H;Lycée polyvalent privé L'Initiative;ILE-DE-FRANCE;BAC;23;55;21
0754016H;Lycée polyvalent privé L'Initiative;ILE-DE-FRANCE;BTS;22;38;46
0754016H;Lycée polyvalent privé L'Initiative;ILE-DE-FRANCE;CAP;55;;
0754025T;Lycée polyvalent privé Saint-Nicolas;ILE-DE-FRANCE;BAC;;56;25
0754025T;Lycée polyvalent privé Saint-Nicolas;ILE-DE-FRANCE;BTS;23;50;54
0754025T;Lycée polyvalent privé Saint-Nicolas;ILE-DE-FRANCE;CAP;17;78;
0754029X;Lycée polyvalent privé Carcado Saisseval - Lycée des métiers du management du commerce, des services et soins à la personne;ILE-DE-FRANCE;BAC;17;67;28
0754029X;Lycée polyvalent privé Carcado Saisseval - Lycée des métiers du management du commerce, des services et soins à la personne;ILE-DE-FRANCE;BTS;17;52;44
0754029X;Lycée polyvalent privé Carcado Saisseval - Lycée des métiers du management du commerce, des services et soins à la personne;ILE-DE-FRANCE;CAP;25;60;
0754030Y;Lycée polyvalent privé Albert de Mun;ILE-DE-FRANCE;BAC;29;73;20
0754030Y;Lycée polyvalent privé Albert de Mun;ILE-DE-FRANCE;BTS;39;44;55
0754030Y;Lycée polyvalent privé Albert de Mun;ILE-DE-FRANCE;CAP;25;79;
0754030Y;Lycée polyvalent privé Albert de Mun;ILE-DE-FRANCE;MC5;;21;50
0754037F;Lycée technologique privé Fenelon Sup La Plaine Monceau;ILE-DE-FRANCE;BTS;6;74;61
0754042L;Lycée polyvalent privé Le Rebours - Lycée des métiers du management et des services;ILE-DE-FRANCE;BAC;23;50;42
0754042L;Lycée polyvalent privé Le Rebours - Lycée des métiers du management et des services;ILE-DE-FRANCE;BTS;20;52;44
0754045P;Lycée polyvalent privé Catherine Labouré;ILE-DE-FRANCE;BAC;15;64;31
0754045P;Lycée polyvalent privé Catherine Labouré;ILE-DE-FRANCE;CAP;9;81;
0754086J;Lycée général et technologique privé Charles de Foucauld;ILE-DE-FRANCE;BTS;7;57;48
0754239A;Lycée polyvalent privé Saint Jean de Montmartre - Lycée des métiers privé de la vente et du commerce;ILE-DE-FRANCE;BAC;30;56;32
0754239A;Lycée polyvalent privé Saint Jean de Montmartre - Lycée des métiers privé de la vente et du commerce;ILE-DE-FRANCE;CAP;26;77;
0754475G;Lycée polyvalent Léonard de Vinci - Lycée des métiers du bois;ILE-DE-FRANCE;BAC;19;58;21
0754475G;Lycée polyvalent Léonard de Vinci - Lycée des métiers du bois;ILE-DE-FRANCE;BP;28;26;70
0754475G;Lycée polyvalent Léonard de Vinci - Lycée des métiers du bois;ILE-DE-FRANCE;BTS;40;21;56
0754475G;Lycée polyvalent Léonard de Vinci - Lycée des métiers du bois;ILE-DE-FRANCE;CAP;43;42;29
0754476H;Lycée polyvalent Guillaume Tirel - Lycée des métiers de l' hotellerie;ILE-DE-FRANCE;BAC;38;60;46
0754476H;Lycée polyvalent Guillaume Tirel - Lycée des métiers de l' hotellerie;ILE-DE-FRANCE;BTS;41;47;58
0754476H;Lycée polyvalent Guillaume Tirel - Lycée des métiers de l' hotellerie;ILE-DE-FRANCE;CAP;13;53;24
0754476H;Lycée polyvalent Guillaume Tirel - Lycée des métiers de l' hotellerie;ILE-DE-FRANCE;MC4;16;61;
