n°UAI de l'établissement;Libellé de l'établissement;Région;Niveau de formation;;Taux de poursuite d'études;Taux d'emploi 6 mois après la sortie
0931797Y;Lycée polyvalent privé Jean-Baptiste de la Salle - lycée des métiers des applications de l'énergie électrique et de leur maintenance;ILE-DE-FRANCE;BAC;26;65;
0931797Y;Lycée polyvalent privé Jean-Baptiste de la Salle - lycée des métiers des applications de l'énergie électrique et de leur maintenance;ILE-DE-FRANCE;BTS;18;23;50
0931797Y;Lycée polyvalent privé Jean-Baptiste de la Salle - lycée des métiers des applications de l'énergie électrique et de leur maintenance;ILE-DE-FRANCE;CAP;13;;
0932026X;Lycée polyvalent Alfred Nobel;ILE-DE-FRANCE;BAC;;50;33
0932026X;Lycée polyvalent Alfred Nobel;ILE-DE-FRANCE;BTS;26;21;43
0932026X;Lycée polyvalent Alfred Nobel;ILE-DE-FRANCE;CAP;18;53;13
0932030B;Lycée polyvalent Maurice Utrillo;ILE-DE-FRANCE;BAC;36;69;22
0932030B;Lycée polyvalent Maurice Utrillo;ILE-DE-FRANCE;BTS;25;18;50
0932031C;Lycée général et technologique Charles de Gaulle;ILE-DE-FRANCE;BTS;44;30;66
0932046U;Lycée polyvalent Léonard de Vinci - Lycée des métiers du transport;ILE-DE-FRANCE;BAC;30;36;29
0932046U;Lycée polyvalent Léonard de Vinci - Lycée des métiers du transport;ILE-DE-FRANCE;BTS;35;35;55
0932047V;Lycée polyvalent Evariste Galois - Lycée des métiers de l'audiovisuel;ILE-DE-FRANCE;BAC;30;67;11
0932047V;Lycée polyvalent Evariste Galois - Lycée des métiers de l'audiovisuel;ILE-DE-FRANCE;BTS;34;37;60
0932048W;Lycée polyvalent Blaise Cendrars;ILE-DE-FRANCE;BAC;22;61;29
0932048W;Lycée polyvalent Blaise Cendrars;ILE-DE-FRANCE;CAP;27;70;
0932073Y;Lycée polyvalent Paul Robert;ILE-DE-FRANCE;BAC;;52;23
0932074Z;Lycée polyvalent Marcel Cachin - Lycée des métiers de la santé et du travail social;ILE-DE-FRANCE;BAC;32;46;32
0932074Z;Lycée polyvalent Marcel Cachin - Lycée des métiers de la santé et du travail social;ILE-DE-FRANCE;BTS;44;33;55
0932074Z;Lycée polyvalent Marcel Cachin - Lycée des métiers de la santé et du travail social;ILE-DE-FRANCE;CAP;38;48;14
0932074Z;Lycée polyvalent Marcel Cachin - Lycée des métiers de la santé et du travail social;ILE-DE-FRANCE;MC4;44;;
0932116V;Lycée polyvalent Eugénie Cotton - Lycée des métiers création graphique, numérique et développement de l'entreprise;ILE-DE-FRANCE;BAC;;55;25
0932116V;Lycée polyvalent Eugénie Cotton - Lycée des métiers création graphique, numérique et développement de l'entreprise;ILE-DE-FRANCE;BTS;34;;
0932116V;Lycée polyvalent Eugénie Cotton - Lycée des métiers création graphique, numérique et développement de l'entreprise;ILE-DE-FRANCE;CAP;;;
0932117W;Lycée polyvalent Lucie Aubrac;ILE-DE-FRANCE;BAC;;59;30
0932117W;Lycée polyvalent Lucie Aubrac;ILE-DE-FRANCE;CAP;21;;
0932118X;Lycée polyvalent Jean Moulin;ILE-DE-FRANCE;BAC;;47;30
0932118X;Lycée polyvalent Jean Moulin;ILE-DE-FRANCE;CAP;21;62;
0932119Y;Lycée polyvalent Eugène Henaff - Lycée des métiers de l'énergie;ILE-DE-FRANCE;BAC;22;52;32
0932119Y;Lycée polyvalent Eugène Henaff - Lycée des métiers de l'énergie;ILE-DE-FRANCE;BTS;41;21;
0932119Y;Lycée polyvalent Eugène Henaff - Lycée des métiers de l'énergie;ILE-DE-FRANCE;CAP;16;53;23
0932119Y;Lycée polyvalent Eugène Henaff - Lycée des métiers de l'énergie;ILE-DE-FRANCE;MC4;38;;
0932120Z;Lycée polyvalent Henri Sellier - Lycée des métiers de la santé et du social;ILE-DE-FRANCE;BAC;;61;28
0932120Z;Lycée polyvalent Henri Sellier - Lycée des métiers de la santé et du social;ILE-DE-FRANCE;BTS;20;51;30
0932120Z;Lycée polyvalent Henri Sellier - Lycée des métiers de la santé et du social;ILE-DE-FRANCE;CAP;23;;
0932121A;Lycée polyvalent Suger - Lycée des métiers de l'image et du son;ILE-DE-FRANCE;BAC;;49;22
0932121A;Lycée polyvalent Suger - Lycée des métiers de l'image et du son;ILE-DE-FRANCE;BTS;33;39;44
0932122B;Lycée polyvalent d'Alembert;ILE-DE-FRANCE;BAC;23;54;24
0932123C;Lycée polyvalent Sabatier - Lycée des métiers de l'esthétique et de la coiffure;ILE-DE-FRANCE;BAC;35;56;45
0932123C;Lycée polyvalent Sabatier - Lycée des métiers de l'esthétique et de la coiffure;ILE-DE-FRANCE;CAP;35;54;19
0932123C;Lycée polyvalent Sabatier - Lycée des métiers de l'esthétique et de la coiffure;ILE-DE-FRANCE;MC5;37;60;
0932126F;Lycée polyvalent François Rabelais - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;BAC;10;51;49
0932126F;Lycée polyvalent François Rabelais - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;BTS;79;19;67
0932126F;Lycée polyvalent François Rabelais - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;CAP;26;55;26
0932126F;Lycée polyvalent François Rabelais - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;MC4;22;54;
0932126F;Lycée polyvalent François Rabelais - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;MC5;12;27;39
0932129J;Lycée polyvalent Application de l'Enna - Lycée des métiers des structures métalliques;ILE-DE-FRANCE;BAC;52;54;32
0932129J;Lycée polyvalent Application de l'Enna - Lycée des métiers des structures métalliques;ILE-DE-FRANCE;CAP;32;70;
0932221J;Lycée polyvalent Blaise Pascal - Lycée des métiers de la santé et de l'aide à la personne;ILE-DE-FRANCE;BAC;23;62;24
0932221J;Lycée polyvalent Blaise Pascal - Lycée des métiers de la santé et de l'aide à la personne;ILE-DE-FRANCE;BTS;13;42;43
0932222K;Lycée polyvalent René Cassin - Lycée des métiers de l'électrotechnique;ILE-DE-FRANCE;BAC;20;54;44
0932222K;Lycée polyvalent René Cassin - Lycée des métiers de l'électrotechnique;ILE-DE-FRANCE;CAP;26;85;
0932229T;Lycée polyvalent Paul Le Rolland - Lycée des métiers de la conception et de la réalisation de systèmes industriels;ILE-DE-FRANCE;BAC;31;46;25
0932229T;Lycée polyvalent Paul Le Rolland - Lycée des métiers de la conception et de la réalisation de systèmes industriels;ILE-DE-FRANCE;BTS;40;26;55
0932229T;Lycée polyvalent Paul Le Rolland - Lycée des métiers de la conception et de la réalisation de systèmes industriels;ILE-DE-FRANCE;CAP;29;43;26
0932260B;Lycée polyvalent Georges Brassens - Lycée des métiers du management, de la gestion, de l'administration et de la communication;ILE-DE-FRANCE;BAC;31;53;34
0932260B;Lycée polyvalent Georges Brassens - Lycée des métiers du management, de la gestion, de l'administration et de la communication;ILE-DE-FRANCE;CAP;24;52;32
0932267J;Lycée polyvalent Liberté - Lycée des métiers du laboratoire et de la santé;ILE-DE-FRANCE;BAC;21;54;28
0932267J;Lycée polyvalent Liberté - Lycée des métiers du laboratoire et de la santé;ILE-DE-FRANCE;BP;23;32;75
0932267J;Lycée polyvalent Liberté - Lycée des métiers du laboratoire et de la santé;ILE-DE-FRANCE;CAP;53;63;21
0932282A;Lycée polyvalent Léo Lagrange;ILE-DE-FRANCE;BAC;;54;28
0932291K;Lycee polyvalent Nicolas-Joseph Cugnot - Lycée des métiers de l'automobile;ILE-DE-FRANCE;BAC;25;54;23
0932291K;Lycee polyvalent Nicolas-Joseph Cugnot - Lycée des métiers de l'automobile;ILE-DE-FRANCE;BTS;34;46;
0932291K;Lycee polyvalent Nicolas-Joseph Cugnot - Lycée des métiers de l'automobile;ILE-DE-FRANCE;CAP;36;45;29
0932667U;Lycée polyvalent Angela Davis;ILE-DE-FRANCE;BAC;25;64;35
0932667U;Lycée polyvalent Angela Davis;ILE-DE-FRANCE;BTS;21;46;57
0932721C;Lycée professionnel privé Marcel LAMY;ILE-DE-FRANCE;BAC;20;;
0932721C;Lycée professionnel privé Marcel LAMY;ILE-DE-FRANCE;CAP;;;
0940112L;Lycée polyvalent Louise Michel - Lycée des métiers de la santé;ILE-DE-FRANCE;BAC;;55;38
0940113M;Lycée polyvalent Langevin-Wallon;ILE-DE-FRANCE;BAC;17;55;27
0940113M;Lycée polyvalent Langevin-Wallon;ILE-DE-FRANCE;BTS;40;33;53
0940114N;Lycée polyvalent Antoine de Saint-Exupéry;ILE-DE-FRANCE;BAC;40;74;25
0940114N;Lycée polyvalent Antoine de Saint-Exupéry;ILE-DE-FRANCE;BTS;34;27;57
0940114N;Lycée polyvalent Antoine de Saint-Exupéry;ILE-DE-FRANCE;MC4;32;18;39
0940116R;Lycée général et technologique Eugène Delacroix;ILE-DE-FRANCE;BTS;50;39;47
0940118T;Lycée polyvalent L Armand, Lyc mét télécommunications réseaux informatiques, électricité et applications, conception mécanique assistée par ordinateur;ILE-DE-FRANCE;BAC;38;72;22
0940118T;Lycée polyvalent L Armand, Lyc mét télécommunications réseaux informatiques, électricité et applications, conception mécanique assistée par ordinateur;ILE-DE-FRANCE;BTS;25;43;35
0940119U;Lycée polyvalent Paul Doumer;ILE-DE-FRANCE;BTS;19;36;42
0940120V;Lycée général et technologique Marcelin Berthelot;ILE-DE-FRANCE;BTS;38;69;44
0940121W;Lycée général et technologique d'Arsonval;ILE-DE-FRANCE;BTS;19;40;60
0940122X;Lycée polyvalent Condorcet;ILE-DE-FRANCE;BAC;4;53;29
0940122X;Lycée polyvalent Condorcet;ILE-DE-FRANCE;BTS;28;25;67
0940123Y;Lycée général et technologique Guillaume Apollinaire;ILE-DE-FRANCE;BTS;29;32;50
0940124Z;Lycée général et technologique Hector Berlioz;ILE-DE-FRANCE;BTS;31;42;64
0940126B;Lycée polyvalent Maximilien Perret - Lycée des métiers de l'énergie et du génie climatique;ILE-DE-FRANCE;BAC;27;54;41
0940126B;Lycée polyvalent Maximilien Perret - Lycée des métiers de l'énergie et du génie climatique;ILE-DE-FRANCE;BP;56;;
0940126B;Lycée polyvalent Maximilien Perret - Lycée des métiers de l'énergie et du génie climatique;ILE-DE-FRANCE;BTS;;41;59
0940126B;Lycée polyvalent Maximilien Perret - Lycée des métiers de l'énergie et du génie climatique;ILE-DE-FRANCE;CAP;37;62;30
0940129E;Lycée polyvalent Jean Macé - Lycée des métiers de la métallurgie, de la maintenance industrielle et électronique;ILE-DE-FRANCE;BAC;42;63;31
0940129E;Lycée polyvalent Jean Macé - Lycée des métiers de la métallurgie, de la maintenance industrielle et électronique;ILE-DE-FRANCE;BTS;33;29;47
0940129E;Lycée polyvalent Jean Macé - Lycée des métiers de la métallurgie, de la maintenance industrielle et électronique;ILE-DE-FRANCE;CAP;33;;
0940129E;Lycée polyvalent Jean Macé - Lycée des métiers de la métallurgie, de la maintenance industrielle et électronique;ILE-DE-FRANCE;MC4;;;
0940132H;Lycée professionnel Gabriel Péri - Lycée des métiers du social et de l'aide à la personne;ILE-DE-FRANCE;BAC;;51;41
0940132H;Lycée professionnel Gabriel Péri - Lycée des métiers du social et de l'aide à la personne;ILE-DE-FRANCE;CAP;46;60;19
0940134K;Lycée professionnel Val de Bièvre;ILE-DE-FRANCE;BAC;31;50;
0940134K;Lycée professionnel Val de Bièvre;ILE-DE-FRANCE;CAP;56;47;21
0940134K;Lycée professionnel Val de Bièvre;ILE-DE-FRANCE;MC5;37;;
0940137N;Lycée professionnel des métiers la Source;ILE-DE-FRANCE;BAC;;66;35
0940137N;Lycée professionnel des métiers la Source;ILE-DE-FRANCE;BTS;23;;
0940137N;Lycée professionnel des métiers la Source;ILE-DE-FRANCE;CAP;;59;29
0940137N;Lycée professionnel des métiers la Source;ILE-DE-FRANCE;MC5;17;;
0940138P;Lycée professionnel Armand Guillaumin - Lycée des métiers de la coiffure, de l'esthétique et des soins de la personne;ILE-DE-FRANCE;BAC;;55;35
0940138P;Lycée professionnel Armand Guillaumin - Lycée des métiers de la coiffure, de l'esthétique et des soins de la personne;ILE-DE-FRANCE;BTS;24;29;67
0940138P;Lycée professionnel Armand Guillaumin - Lycée des métiers de la coiffure, de l'esthétique et des soins de la personne;ILE-DE-FRANCE;CAP;32;62;18
0940138P;Lycée professionnel Armand Guillaumin - Lycée des métiers de la coiffure, de l'esthétique et des soins de la personne;ILE-DE-FRANCE;MC5;33;31;
0940140S;Lycée professionnel Gourdou-Leseurre - Lycée des métiers de la maintenance des systèmes industriels;ILE-DE-FRANCE;BAC;35;56;33
0940140S;Lycée professionnel Gourdou-Leseurre - Lycée des métiers de la maintenance des systèmes industriels;ILE-DE-FRANCE;BTS;27;60;
0940140S;Lycée professionnel Gourdou-Leseurre - Lycée des métiers de la maintenance des systèmes industriels;ILE-DE-FRANCE;CAP;;80;
0940141T;Lycée polyvalent Jacques Brel - Lycée des métiers des motocycles - Lycée des métiers de l'ébénisterie;ILE-DE-FRANCE;BAC;18;47;35
0940141T;Lycée polyvalent Jacques Brel - Lycée des métiers des motocycles - Lycée des métiers de l'ébénisterie;ILE-DE-FRANCE;BTS;35;14;58
0940141T;Lycée polyvalent Jacques Brel - Lycée des métiers des motocycles - Lycée des métiers de l'ébénisterie;ILE-DE-FRANCE;CAP;38;69;26
0940143V;Lycée professionnel Jean Moulin;ILE-DE-FRANCE;BAC;30;53;34
0940145X;Lycée professionnel Camille Claudel;ILE-DE-FRANCE;BAC;35;57;31
0940145X;Lycée professionnel Camille Claudel;ILE-DE-FRANCE;CAP;32;33;28
0940171A;Etablissement régional d'enseignement adapté Stendhal;ILE-DE-FRANCE;CAP;70;55;28
0940319L;Lycée d'enseignement adapté François Cavanna;ILE-DE-FRANCE;CAP;32;47;15
0940580V;Lycée Polyvalent de Cachan;ILE-DE-FRANCE;BAC;25;63;25
0940580V;Lycée Polyvalent de Cachan;ILE-DE-FRANCE;BTS;38;44;44
0940580V;Lycée Polyvalent de Cachan;ILE-DE-FRANCE;CAP;36;30;42
0940580V;Lycée Polyvalent de Cachan;ILE-DE-FRANCE;MC4;21;;
0940585A;Lycée polyvalent François Mansart - Lycée des métiers du bois et de l'habitat;ILE-DE-FRANCE;BAC;;54;56
0940585A;Lycée polyvalent François Mansart - Lycée des métiers du bois et de l'habitat;ILE-DE-FRANCE;BTS;37;42;62
0940585A;Lycée polyvalent François Mansart - Lycée des métiers du bois et de l'habitat;ILE-DE-FRANCE;CAP;38;58;
0940742W;Lycée polyvalent Guillaume Budé;ILE-DE-FRANCE;BAC;48;60;21
0940742W;Lycée polyvalent Guillaume Budé;ILE-DE-FRANCE;BTS;24;48;57
0940743X;Lycée polyvalent Georges Brassens;ILE-DE-FRANCE;BAC;34;77;19
0940743X;Lycée polyvalent Georges Brassens;ILE-DE-FRANCE;BTS;21;28;57
0940821G;Lycée général et technologique privé Grégor Mendel;ILE-DE-FRANCE;BTS;40;45;43
0940822H;Lycée général et technologique Claude-Nicolas Ledoux-EBTP;ILE-DE-FRANCE;BTS;21;53;68
0940823J;Lycée professionnel privé Robert Keller;ILE-DE-FRANCE;BAC;36;50;37
0940823J;Lycée professionnel privé Robert Keller;ILE-DE-FRANCE;CAP;34;71;27
0940853S;Lycée professionnel privé Poullart des Places;ILE-DE-FRANCE;CAP;29;44;28
0940878U;Lycée général et technologique privé Teilhard de Chardin;ILE-DE-FRANCE;BTS;39;62;56
0941018W;Lycée polyvalent Edouard Branly;ILE-DE-FRANCE;BAC;34;62;37
0941018W;Lycée polyvalent Edouard Branly;ILE-DE-FRANCE;BTS;34;35;55
0941018W;Lycée polyvalent Edouard Branly;ILE-DE-FRANCE;CAP;42;65;
0941232D;Lycée professionnel Jean Macé;ILE-DE-FRANCE;BAC;39;59;21
0941232D;Lycée professionnel Jean Macé;ILE-DE-FRANCE;CAP;29;53;
0941294W;Lycée polyvalent Adolphe Chérioux - Lycée des métiers de l'habitat et de l'aménagement urbain;ILE-DE-FRANCE;BAC;45;53;25
0941294W;Lycée polyvalent Adolphe Chérioux - Lycée des métiers de l'habitat et de l'aménagement urbain;ILE-DE-FRANCE;BTS;46;34;64
0941294W;Lycée polyvalent Adolphe Chérioux - Lycée des métiers de l'habitat et de l'aménagement urbain;ILE-DE-FRANCE;CAP;33;62;24
0941294W;Lycée polyvalent Adolphe Chérioux - Lycée des métiers de l'habitat et de l'aménagement urbain;ILE-DE-FRANCE;MC5;37;;
0941298A;Lycée professionnel Michelet;ILE-DE-FRANCE;BAC;;52;32
0941298A;Lycée professionnel Michelet;ILE-DE-FRANCE;CAP;38;50;22
0941301D;Lycée polyvalent Frédéric Mistral;ILE-DE-FRANCE;BAC;33;61;31
0941301D;Lycée polyvalent Frédéric Mistral;ILE-DE-FRANCE;BTS;24;43;50
0941347D;Lycée général et technologique Pablo Picasso;ILE-DE-FRANCE;BTS;18;46;50
0941355M;Lycée polyvalent Paul Bert - Lycée des métiers du commerce et de l'administration;ILE-DE-FRANCE;BAC;23;58;30
0941355M;Lycée polyvalent Paul Bert - Lycée des métiers du commerce et de l'administration;ILE-DE-FRANCE;BTS;27;35;47
0941355M;Lycée polyvalent Paul Bert - Lycée des métiers du commerce et de l'administration;ILE-DE-FRANCE;CAP;30;37;30
0941407U;Lycée professionnel privé CE 3P;ILE-DE-FRANCE;BAC;45;38;
0941407U;Lycée professionnel privé CE 3P;ILE-DE-FRANCE;BTS;;13;
0941413A;Lycée polyvalent Léon Blum;ILE-DE-FRANCE;BAC;;49;31
0941470M;Lycée polyvalent Samuel de Champlain;ILE-DE-FRANCE;BAC;19;59;28
0941470M;Lycée polyvalent Samuel de Champlain;ILE-DE-FRANCE;BTS;42;45;68
0941470M;Lycée polyvalent Samuel de Champlain;ILE-DE-FRANCE;CAP;29;51;30
0941474S;Lycée polyvalent Darius Milhaud;ILE-DE-FRANCE;BAC;18;55;38
0941474S;Lycée polyvalent Darius Milhaud;ILE-DE-FRANCE;BTS;20;29;53
0941474S;Lycée polyvalent Darius Milhaud;ILE-DE-FRANCE;CAP;30;52;5
0941604H;Lycée professionnel Samuel de Champlain - Lycée des métiers de la construction et de la gestion immobilière;ILE-DE-FRANCE;BAC;9;55;23
0941604H;Lycée professionnel Samuel de Champlain - Lycée des métiers de la construction et de la gestion immobilière;ILE-DE-FRANCE;CAP;37;50;
0941722L;Lycée professionnel privé Grégor Mendel;ILE-DE-FRANCE;BAC;22;44;21
0941724N;Lycée professionnel privé Claude-Nicolas Ledoux - Lycée des métiers de la construction et de son environnement;ILE-DE-FRANCE;BAC;18;69;31
0941918Z;Lycée polyvalent Christophe Colomb;ILE-DE-FRANCE;BAC;30;61;30
0941918Z;Lycée polyvalent Christophe Colomb;ILE-DE-FRANCE;BTS;18;36;41
0941930M;Lycée polyvalent Gutenberg;ILE-DE-FRANCE;BAC;30;64;32
0941930M;Lycée polyvalent Gutenberg;ILE-DE-FRANCE;MC5;23;33;
0941951K;Lycée polyvalent Marx Dormoy;ILE-DE-FRANCE;BAC;33;54;22
0941951K;Lycée polyvalent Marx Dormoy;ILE-DE-FRANCE;CAP;24;47;21
0941952L;Lycée polyvalent François Arago;ILE-DE-FRANCE;BAC;32;57;28
0941952L;Lycée polyvalent François Arago;ILE-DE-FRANCE;BTS;30;35;58
0941952L;Lycée polyvalent François Arago;ILE-DE-FRANCE;CAP;24;66;
0941952L;Lycée polyvalent François Arago;ILE-DE-FRANCE;MC4;34;14;
0941972H;Lycée polyvalent Fernand Léger - Lycée des métiers de la maintenance et de l'après vente automobile;ILE-DE-FRANCE;BAC;14;47;40
0941972H;Lycée polyvalent Fernand Léger - Lycée des métiers de la maintenance et de l'après vente automobile;ILE-DE-FRANCE;BTS;41;35;41
0941972H;Lycée polyvalent Fernand Léger - Lycée des métiers de la maintenance et de l'après vente automobile;ILE-DE-FRANCE;CAP;25;35;26
0941972H;Lycée polyvalent Fernand Léger - Lycée des métiers de la maintenance et de l'après vente automobile;ILE-DE-FRANCE;MC5;23;;
0941974K;Lycée polyvalent Robert Schuman;ILE-DE-FRANCE;BAC;;53;20
0941975L;Lycée polyvalent Pierre Brossolette - Lycée des métiers du social et de l'aide à la personne;ILE-DE-FRANCE;BAC;22;66;28
0942130E;Lycée polyvalent Montaleau - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;BAC;21;69;38
0942130E;Lycée polyvalent Montaleau - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;BTS;77;33;
0942130E;Lycée polyvalent Montaleau - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;CAP;50;60;32
0942130E;Lycée polyvalent Montaleau - Lycée des métiers de l'hôtellerie et de la restauration;ILE-DE-FRANCE;MC5;28;19;52
0942269F;Lycée polyvalent Pauline Roland - Lycée des métiers du transport et de la logistique;ILE-DE-FRANCE;BAC;23;46;42
0942269F;Lycée polyvalent Pauline Roland - Lycée des métiers du transport et de la logistique;ILE-DE-FRANCE;BTS;49;25;59
0942269F;Lycée polyvalent Pauline Roland - Lycée des métiers du transport et de la logistique;ILE-DE-FRANCE;CAP;47;44;27
0942354Y;LGT Ensemble Sainte Marie;ILE-DE-FRANCE;BTS;20;57;39
0942355Z;LP Ensemble Sainte Marie;ILE-DE-FRANCE;BAC;23;51;36
0950164M;Etablissement régional d'enseignement adapté Françoise Dolto;ILE-DE-FRANCE;CAP;29;47;9
0950640E;Lycée général et technologique Julie-Victoire Daubié;ILE-DE-FRANCE;BTS;17;24;46
0950641F;Lycée polyvalent Jean Jaurès;ILE-DE-FRANCE;BAC;44;57;27
0950641F;Lycée polyvalent Jean Jaurès;ILE-DE-FRANCE;BTS;50;37;35
0950641F;Lycée polyvalent Jean Jaurès;ILE-DE-FRANCE;CAP;32;;
0950645K;Lycée général et technologique Van Gogh;ILE-DE-FRANCE;BTS;;41;51
0950646L;Lycée général et technologique René Cassin;ILE-DE-FRANCE;BTS;24;35;58
0950648N;Lycée général et technologique Jean-Jacques Rousseau;ILE-DE-FRANCE;BTS;38;65;44
0950649P;Lycée polyvalent Camille Pissarro, lycée des métiers de la santé, du social et de l'aide aux personnes;ILE-DE-FRANCE;BAC;30;74;30
0950649P;Lycée polyvalent Camille Pissarro, lycée des métiers de la santé, du social et de l'aide aux personnes;ILE-DE-FRANCE;BTS;8;47;58
0950649P;Lycée polyvalent Camille Pissarro, lycée des métiers de la santé, du social et de l'aide aux personnes;ILE-DE-FRANCE;MC5;37;29;
0950650R;Lycée polyvalent Jean-Jacques Rousseau;ILE-DE-FRANCE;BAC;42;61;16
0950650R;Lycée polyvalent Jean-Jacques Rousseau;ILE-DE-FRANCE;BTS;20;48;45
0950651S;Lycée général et technologique Jacques Prévert;ILE-DE-FRANCE;BTS;41;33;48
0950656X;Lycée professionnel Le Corbusier, lycée des métiers du bâtiment;ILE-DE-FRANCE;BAC;42;54;34
0950656X;Lycée professionnel Le Corbusier, lycée des métiers du bâtiment;ILE-DE-FRANCE;CAP;55;59;25
0950657Y;Lycée professionnel Ferdinand Buisson;ILE-DE-FRANCE;BAC;33;39;34
0950657Y;Lycée professionnel Ferdinand Buisson;ILE-DE-FRANCE;BP;49;14;
0950657Y;Lycée professionnel Ferdinand Buisson;ILE-DE-FRANCE;BTS;;;
0950657Y;Lycée professionnel Ferdinand Buisson;ILE-DE-FRANCE;CAP;;62;25
0950658Z;Lycée professionnel Château d' Epluches, lycée des métiers de l'automobile et du transport;ILE-DE-FRANCE;BAC;28;36;50
0950658Z;Lycée professionnel Château d' Epluches, lycée des métiers de l'automobile et du transport;ILE-DE-FRANCE;CAP;52;35;24
0950666H;Lycée polyvalent Georges Braque, lycée des métiers de l'intelligence économique et du management;ILE-DE-FRANCE;BAC;27;50;21
0950666H;Lycée polyvalent Georges Braque, lycée des métiers de l'intelligence économique et du management;ILE-DE-FRANCE;BTS;28;35;49
0950667J;Lycée polyvalent Romain Rolland, lycée des métiers de l'industrie, du commerce et des services aux entreprises;ILE-DE-FRANCE;BAC;31;51;36
0950667J;Lycée polyvalent Romain Rolland, lycée des métiers de l'industrie, du commerce et des services aux entreprises;ILE-DE-FRANCE;BTS;30;24;49
0950667J;Lycée polyvalent Romain Rolland, lycée des métiers de l'industrie, du commerce et des services aux entreprises;ILE-DE-FRANCE;CAP;34;45;9
0950709E;Lycée professionnel Virginia Henderson, lycée des métiers des services à la personne et à l'entreprise;ILE-DE-FRANCE;BAC;38;58;24
0950709E;Lycée professionnel Virginia Henderson, lycée des métiers des services à la personne et à l'entreprise;ILE-DE-FRANCE;BTS;25;;
0950709E;Lycée professionnel Virginia Henderson, lycée des métiers des services à la personne et à l'entreprise;ILE-DE-FRANCE;CAP;;42;
0950759J;Lycée général et technologique privé Notre Dame de Bury;ILE-DE-FRANCE;BTS;15;72;
0950761L;Lycée polyvalent privé Notre Dame de La Compassion;ILE-DE-FRANCE;BAC;7;63;
0950800D;Lycée professionnel privé de Cognacq-Jay, lycée des métiers des secteurs administratifs et commerciaux;ILE-DE-FRANCE;BAC;7;52;36
0950800D;Lycée professionnel privé de Cognacq-Jay, lycée des métiers des secteurs administratifs et commerciaux;ILE-DE-FRANCE;CAP;16;63;
0950804H;Lycée professionnel privé Notre-Famille;ILE-DE-FRANCE;BAC;7;61;8
