"libellé métier";"lien site onisep.fr";"nom publication";collection;année;gencod;GFE;"code ROME";"libellé ROME";"lien ROME";domaine/sous-domaine
"brodeur / brodeuse";https://www.onisep.fr/http/redirection/metier/slug/MET.188;"Les métiers de l'artisanat d'art";Parcours;2023;9782273016353;"GFE L : textile, habillement, cuir";B1804;"Réalisation d'ouvrages d'art en fils";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=B1804;"arts, culture, artisanat/artisanat d'art| matières premières, fabrication, industries/textile, habillement"
"caissier / caissière";https://www.onisep.fr/http/redirection/metier/slug/MET.151;"Les métiers du commerce alimentaire de proximité";"Zoom sur les métiers";2020;9782273014915;"GFE Q : commerce, gestion, finances";D1505;"Personnel de caisse";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=D1505;"commerce, marketing, vente/grande distribution et petits commerces"
cartographe;https://www.onisep.fr/http/redirection/metier/slug/MET.31;;"pas de publication Onisep spécifique";;;"GFE T : environnement, nettoyage, sécurité";M1808;"Information géographique";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=M1808;"histoire-géographie, psychologie, sociologie/géographie| sciences/sciences de la Terre"
"chargé / chargée d'affaires en génie climatique";https://www.onisep.fr/http/redirection/metier/slug/MET.107;"Les métiers de l'énergie";Parcours;2022;9782273015998;"GFE H : électricité, énergie, électronique";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"environnement, énergies, propreté/énergies| construction, architecture, travaux publics/équipement technique"
"chargé / chargée d'études de prix";https://www.onisep.fr/http/redirection/metier/slug/MET.498;"Les métiers du bâtiment et des travaux publics";Parcours;2023;9782273016445;"GFE C : bâtiment";F1106;"Ingénierie et études du BTP";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=F1106;"construction, architecture, travaux publics/bureau d'études BTP"
"chargé / chargée d'études média";https://www.onisep.fr/http/redirection/metier/slug/MET.657;"Les métiers du commerce, du marketing et de la publicité";Parcours;2021;9782273015936;"GFE U : communication, médias";E1402;"Élaboration de plan média";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=E1402;"information-communication, audiovisuel/journalisme, édition, publicité| commerce, marketing, vente/marketing, vente"
"chargé / chargée de clientèle banque";https://www.onisep.fr/http/redirection/metier/slug/MET.671;"Ecoles de commerce";Dossiers;2024;9782273016582;"GFE Q : commerce, gestion, finances";C1206;"Gestion de clientèle bancaire";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=C1206;"banque, assurances, immobilier/banque| commerce, marketing, vente/marketing, vente"
"chargé / chargée de production";https://www.onisep.fr/http/redirection/metier/slug/MET.193;"Les métiers du cinéma";Parcours;2021;9782273015745;"GFE V : arts, spectacle, audiovisuel";L1302;"Production et administration spectacle, cinéma et audiovisuel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=L1302;"information-communication, audiovisuel/audiovisuel"
"chargé / chargée de production";https://www.onisep.fr/http/redirection/metier/slug/MET.193;"Les métiers des grands événements culturels et sportifs";"Zoom sur les métiers";2023;9782273016742;"GFE V : arts, spectacle, audiovisuel";L1302;"Production et administration spectacle, cinéma et audiovisuel";https://candidat.francetravail.fr/marche-du-travail/fichemetierrome?codeRome=L1302;"information-communication, audiovisuel/audiovisuel"
"chargé / chargée de recherche en acoustique musicale";https://www.onisep.fr/http/redirection/metier/slug/MET.715;;"pas de publication Onisep spécifique";;;"GFE H : électricité, énergie, électronique";;;;"électricité, électronique, robotique/électronique| sciences/mathématiques| sciences/physique"
